"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.151666722E-3,1.118389893E1,6.744201660E0,-4.523104858E1,4.707878086E1
1.310566673E-2,1.119921875E1,6.721710205E0,-4.524972534E1,4.709714994E1
2.305966674E-2,1.109947205E1,6.748321533E0,-4.530015564E1,4.712581272E1
3.301266674E-2,1.104711914E1,6.798217773E0,-4.526388550E1,4.708581460E1
4.296666675E-2,1.105815125E1,6.910125732E0,-4.531819153E1,4.715687680E1
5.292066664E-2,1.096307373E1,6.916931152E0,-4.534286499E1,4.715939278E1
6.287466665E-2,1.097331238E1,6.871673584E0,-4.533686829E1,4.714939139E1
7.282866666E-2,1.092454529E1,6.809844971E0,-4.529458618E1,4.708841912E1
8.278166666E-2,1.073025513E1,6.706176758E0,-4.516027832E1,4.689948741E1
9.273566667E-2,1.085342407E1,6.833221436E0,-4.516635132E1,4.695198633E1
1.026896667E-1,1.081864929E1,6.930114746E0,-4.527166748E1,4.705946812E1
1.126436667E-1,1.072937012E1,6.976013184E0,-4.537806702E1,4.714820367E1
1.225976667E-1,1.069874573E1,6.956146240E0,-4.537615967E1,4.713647205E1
1.325506667E-1,1.058447266E1,7.001251221E0,-4.525048828E1,4.699633251E1
1.425046667E-1,1.056672668E1,7.111816406E0,-4.533833313E1,4.709350376E1
1.524586667E-1,1.049674988E1,7.176910400E0,-4.523178101E1,4.698514461E1
1.624126667E-1,1.056536865E1,7.301910400E0,-4.530815125E1,4.709324240E1
1.723666667E-1,1.066365051E1,7.276275635E0,-4.514355469E1,4.695314855E1
1.823196667E-1,1.061402893E1,7.197906494E0,-4.519102478E1,4.697548498E1
1.922736667E-1,1.068190002E1,7.328979492E0,-4.501380920E1,4.684079363E1
2.022276667E-1,1.064953613E1,7.335205078E0,-4.533525085E1,4.714342821E1
2.121816667E-1,1.071916199E1,7.161376953E0,-4.530851746E1,4.710676711E1
2.221356666E-1,1.070985413E1,7.217102051E0,-4.515930176E1,4.696967184E1
2.320886666E-1,1.078881836E1,7.092224121E0,-4.510470581E1,4.691623100E1
2.420426667E-1,1.071508789E1,7.143127441E0,-4.508367920E1,4.688683726E1
2.519966667E-1,1.078965759E1,7.080902100E0,-4.517671204E1,4.698394615E1
2.619506667E-1,1.089982605E1,7.118377686E0,-4.527136230E1,4.710598427E1
2.719036667E-1,1.085594177E1,6.986022949E0,-4.532269287E1,4.712539101E1
2.818576667E-1,1.073675537E1,6.919189453E0,-4.528201294E1,4.704905732E1
2.918116667E-1,1.070358276E1,6.947601318E0,-4.529666138E1,4.705978517E1
3.017656667E-1,1.071835327E1,6.948883057E0,-4.519099426E1,4.696164430E1
3.117196667E-1,1.059017944E1,7.022857666E0,-4.509136963E1,4.684766852E1
3.216726667E-1,1.056790161E1,6.925201416E0,-4.508786011E1,4.682471664E1
3.316266667E-1,1.055065918E1,6.989898682E0,-4.525527954E1,4.699165265E1
3.415806667E-1,1.066967773E1,7.032806396E0,-4.527842712E1,4.704719281E1
3.515346667E-1,1.065084839E1,7.032531738E0,-4.530590820E1,4.706933601E1
3.614886667E-1,1.068902588E1,7.095214844E0,-4.536401367E1,4.714330371E1
3.714416667E-1,1.059956360E1,7.034576416E0,-4.522163391E1,4.697693250E1
3.813956667E-1,1.055113220E1,7.105285645E0,-4.531278992E1,4.706442823E1
3.913496666E-1,1.043270874E1,7.029785156E0,-4.529067993E1,4.700537182E1
4.013036666E-1,1.054486084E1,7.056274414E0,-4.525498962E1,4.699999133E1
4.112576667E-1,1.059861755E1,7.099182129E0,-4.542556763E1,4.718274340E1
4.212106667E-1,1.052670288E1,7.081146240E0,-4.543455505E1,4.717258630E1
4.311646667E-1,1.049073792E1,7.217132568E0,-4.527334595E1,4.702997382E1
4.411186667E-1,1.050706482E1,7.239776611E0,-4.545677185E1,4.721367263E1
4.510726667E-1,1.046578979E1,7.158966064E0,-4.514892578E1,4.689572529E1
4.610266667E-1,1.063246155E1,7.283660889E0,-4.517878723E1,4.698110014E1
4.709796667E-1,1.046690369E1,7.331512451E0,-4.528424072E1,4.705283844E1
4.809336667E-1,1.066444397E1,7.260375977E0,-4.540499878E1,4.720230226E1
4.908876667E-1,1.047740173E1,7.141479492E0,-4.527656555E1,4.701855022E1
5.008416667E-1,1.051686096E1,7.177032471E0,-4.504502869E1,4.680992169E1
5.107956667E-1,1.051530457E1,7.157592773E0,-4.502595520E1,4.678824004E1
5.207486667E-1,1.044091797E1,7.134796143E0,-4.485787964E1,4.660630268E1
5.307026667E-1,1.040370178E1,7.175415039E0,-4.497242737E1,4.671448186E1
5.406566667E-1,1.038056946E1,7.215332031E0,-4.497076416E1,4.671388303E1
5.506106667E-1,1.045213318E1,7.284759521E0,-4.506900024E1,4.683513203E1
5.605636667E-1,1.031668091E1,7.240844727E0,-4.507557678E1,4.680460832E1
5.705176666E-1,1.045675659E1,7.312713623E0,-4.516017151E1,4.692824980E1
5.804716666E-1,1.054081726E1,7.393951416E0,-4.511940002E1,4.692056697E1
5.904256667E-1,1.043643188E1,7.266357422E0,-4.510755920E1,4.686588267E1
6.003796667E-1,1.041276550E1,7.194915771E0,-4.508454895E1,4.682743910E1
6.103326667E-1,1.036712646E1,7.229339600E0,-4.490727234E1,4.665194284E1
6.202866667E-1,1.039840698E1,7.308929443E0,-4.494021606E1,4.670300137E1
