"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.212808338E-2,1.648654175E1,-6.437805176E0,-4.458270264E1,4.796737192E1
2.208216663E-2,1.627835083E1,-6.208099365E0,-4.470779419E1,4.798241412E1
3.203616664E-2,1.610743713E1,-5.984893799E0,-4.470062256E1,4.788960369E1
4.199016665E-2,1.568313599E1,-5.319641113E0,-4.489521790E1,4.785227190E1
5.194416665E-2,1.530187988E1,-4.570404053E0,-4.516233826E1,4.790274437E1
6.189816666E-2,1.483999634E1,-3.904785156E0,-4.541401672E1,4.793647623E1
7.185116666E-2,1.435998535E1,-3.279113770E0,-4.573233032E1,4.804589268E1
8.180516667E-2,1.384870911E1,-2.604705811E0,-4.575190735E1,4.787283428E1
9.175916668E-2,1.339479065E1,-1.898956299E0,-4.596362305E1,4.791326638E1
1.017131667E-1,1.307989502E1,-1.168182373E0,-4.597268677E1,4.781146549E1
1.116671667E-1,1.262669373E1,-4.986267090E-1,-4.610673523E1,4.780703982E1
1.216201667E-1,1.223622131E1,2.143859863E-1,-4.628831482E1,4.787879658E1
1.315741667E-1,1.170944214E1,7.867736816E-1,-4.630677795E1,4.777078325E1
1.415281667E-1,1.125936890E1,1.332794189E0,-4.651287842E1,4.787481161E1
1.514821667E-1,1.090568542E1,1.842224121E0,-4.663703918E1,4.793058719E1
1.614351667E-1,1.057263184E1,2.225128174E0,-4.655603027E1,4.779325992E1
1.713891666E-1,1.026164246E1,2.654205322E0,-4.650112915E1,4.769382690E1
1.813431666E-1,9.943252563E0,2.876739502E0,-4.641554260E1,4.755571992E1
1.912971666E-1,9.568405151E0,3.019683838E0,-4.655957031E1,4.762842067E1
2.012511666E-1,9.408081055E0,3.238555908E0,-4.671797180E1,4.776577355E1
2.112041666E-1,9.105865479E0,3.327850342E0,-4.655793762E1,4.755662866E1
2.211581666E-1,8.944992065E0,3.437286377E0,-4.669592285E1,4.766903640E1
2.311121667E-1,8.608108521E0,3.266204834E0,-4.691244507E1,4.780737525E1
2.410661667E-1,8.420761108E0,3.238037109E0,-4.690272522E1,4.776253485E1
2.510191667E-1,8.080764771E0,3.332702637E0,-4.677832031E1,4.758799132E1
2.609731667E-1,7.844863892E0,3.350860596E0,-4.710609436E1,4.787227049E1
2.709271667E-1,7.705001831E0,3.595367432E0,-4.720631409E1,4.796592342E1
2.808811667E-1,7.492324829E0,3.601806641E0,-4.709638977E1,4.782444847E1
2.908351667E-1,7.098449707E0,3.722900391E0,-4.711085510E1,4.778787131E1
3.007881667E-1,7.023880005E0,4.071136475E0,-4.726789856E1,4.796001748E1
3.107421667E-1,6.727767944E0,4.224945068E0,-4.688533020E1,4.755362458E1
3.206961667E-1,6.578277588E0,4.459625244E0,-4.679013062E1,4.746028146E1
3.306501667E-1,6.359222412E0,4.797424316E0,-4.684129333E1,4.751380590E1
3.406041666E-1,6.148605347E0,5.079742432E0,-4.703828430E1,4.770963551E1
3.505571666E-1,6.016342163E0,5.216278076E0,-4.683436584E1,4.750646013E1
3.605111666E-1,5.842468262E0,5.342498779E0,-4.683375549E1,4.749818294E1
3.704651666E-1,5.768463135E0,5.517059326E0,-4.682287598E1,4.749836655E1
3.804191666E-1,5.622909546E0,5.768890381E0,-4.707624817E1,4.776055223E1
